membership,split,note,Interaction_dACC,Interaction_rmPFC,rmPFC,dACC,dlPFC,PPC
1,1,inF,-2.560007167,-2.655948965,-0.804911516,-0.213825965,10.12463361,17.8883893
1,1,inF,1.281492869,-4.198921234,-2.568918021,1.759361607,8.131954591,9.724796257
1,2,inUF,2.518490655,-7.768714485,-6.751951901,3.545351221,7.586265144,13.50146643
1,2,inUF,6.747265708,4.068614826,2.795840506,7.516673115,9.049944956,17.09142491
1,2,inUF,9.45866959,4.733057972,4.497086032,9.827056389,13.78090941,13.96557752
1,2,inUF,16.16498639,-5.493175869,-3.841518298,15.54955608,11.80949189,12.07538196
1,2,inUF,-2.51287988,-0.680121742,0.115412515,-2.62859205,-3.588541074,-5.153727237
1,2,inUF,13.9371858,-2.609877746,-2.424217218,13.18743589,8.162153302,21.45375465
1,2,inUF,9.147989037,-8.661592447,-8.072275469,11.42140383,10.91221286,27.89809374
1,2,inUF,11.35001653,-4.896236515,-4.512095913,11.60116357,14.27673118,20.94053357
1,2,inUF,17.94818316,-7.560397159,-7.870254499,19.33799185,19.67542035,24.87349157
1,2,inUF,5.512850579,4.358899215,2.133793809,5.596949199,0.996716954,-1.707325946
1,2,inUF,16.10316987,5.113229431,3.315023609,16.01244818,13.80779609,18.92409589
1,2,inUF,3.19924209,-9.385111583,-8.101515162,4.079928197,3.624339585,6.139634679
1,2,inUF,5.216869402,-13.13224473,-9.883499132,3.139099652,-0.290098324,4.102501102
1,2,inUF,17.53453278,-2.496385139,-1.03605678,15.8541119,21.07286025,34.04907829
1,2,inUF,6.175561555,-2.003825968,-1.83599689,6.626574,6.148923072,10.05373517
1,2,inUF,14.6926559,-6.360570588,-6.074393051,13.02799976,8.626120063,19.72896802
1,2,inUF,16.82151469,-1.690746107,0.107294161,16.51503434,19.04752049,27.86339159
1,2,inUF,26.17504082,2.244699271,2.504820114,22.38702009,12.33399655,19.03740176
1,2,inUF,24.51800476,9.482369103,7.01851934,26.58524729,22.76972584,21.51051255
1,2,inUF,8.681439348,0.703416821,1.437660973,8.786839794,5.30234232,8.953926207
1,2,inUF,21.33545523,-8.28555666,-7.543522637,20.44731586,12.41605826,10.59495182
1,2,inUF,9.238651988,1.862054125,1.757462221,8.753122778,12.25100961,14.090939
1,2,inUF,0.109105156,-2.560255308,-0.453383184,0.686279841,1.064571933,14.83523036
1,2,inUF,-2.480207988,-8.172510698,-8.996097937,-1.870361399,2.175872869,4.446923821
1,2,inUF,1.270538911,-9.094011917,-6.29522884,4.05506521,8.98790242,22.23211649
1,2,inUF,1.5575069,-3.778756172,-2.521535248,2.100062391,3.552923391,13.95804137
1,2,inUF,4.4693005,1.994168157,3.121134374,10.15549203,9.025666816,16.14880898
1,2,inUF,6.2024286,3.346274251,3.355649096,9.084651619,7.251481713,9.920693175
1,2,inUF,25.85101988,4.037980203,3.400194756,22.89375998,22.62653682,20.59351193
1,2,inUF,6.455642671,-1.91569956,1.815124118,8.706388338,11.26138161,19.71955415
1,2,inUF,7.558562715,-7.65788205,-4.560136514,8.002832812,17.23091242,18.85043251
1,2,inUF,2.898595231,3.92451834,2.16904836,4.00441242,5.809008271,6.95776563
1,2,inUF,18.39630924,-1.549875857,-0.486409617,19.93655727,12.91791268,16.20223527
1,2,inUF,7.714125277,-3.447305754,-2.637903494,6.888856555,4.629067058,6.664025706
1,2,inUF,9.518863996,0.121104139,3.269622384,10.72922844,9.928416683,23.40196686
1,2,inUF,4.70692798,-4.077660675,-2.984628107,5.330883816,5.813615094,7.44399773
1,2,inUF,7.457673827,-5.814216261,-4.506176218,9.76463335,9.907704212,24.14433843
1,2,inUF,16.13995697,5.038749542,5.189845379,16.25764157,19.08860906,26.37973828
1,2,inUF,7.738982354,-3.468401219,-0.913385211,8.613576859,7.534073225,9.699255578
1,2,inUF,16.22855252,0.115904387,1.914400719,15.62077871,7.366253246,11.69691419
